Title,Author,Publisher,"No. of collected volumes",Serialized
Maison Ikkoku,Rumiko Takahashi,Shogakukan,15,1980–1987
Miyuki,Mitsuru Adachi,Shogakukan,12,1980–1984
Neon Genesis Evangelion,Yoshiyuki Sadamoto,Kadokawa Shoten,14,1994–2013
Oh My Goddess!,Kosuke Fujishima,Kodansha,48,1988–2014
Patalliro!,Mineo Maya,Hakusensha,101,1979–present
Saiyuki,Kazuya Minekura,"Square Enix (first series), Ichijinsha (second and third series)",23,1997–present
Seito Shokun!,Yoko Shoji,Kodansha,79,1977–2019
Space Brothers,Chūya Koyama,Kodansha,39,2007–present
That Time I Got Reincarnated as a Slime,"Fuse, Taiki Kawakami",Kodansha,51,2015–present
The Ping Pong Club,Minoru Furuya,Kodansha,13,1993–1996
The Silent Service,Kaiji Kawaguchi,Kodansha,32,1988–1996
Toriko,Mitsutoshi Shimabukuro,Shueisha,43,2008–2016
Yowamushi Pedal,Wataru Watanabe,Akita Shoten,71,2008–present
Yūkan Club,Yukari Ichijo,Shueisha,19,1982–2002
Ahiru no Sora,Hinata Takeshi,Kodansha,51,2004–present
Gantz,Hiroya Oku,Shueisha,37,2000–2013
Jigoku Sensei Nūbē,"Sho Makura, Takeshi Okano",Shueisha,70,1993–present
Parasyte,Hitoshi Iwaaki,Kodansha,10,1988–1995
Zatch Bell!,Makoto Raiku,Shogakukan,33,2001–2007
Rave Master,Hiro Mashima,Kodansha,35,1999–2005
Himitsu Series [ja],"Yasuko Uchiyama, Tokuo Yokota, Terumi Fujiki, Yoshitari Iizuka",Gakken,116,1972–2014
Abu-san,Shinji Mizushima,Shogakukan,107,1973–2014
Hoshin Engi,Ryu Fujisaki,Shueisha,23,1996–2000
Dobutsu no Oisha-san,Noriko Sasaki,Hakusensha,12,1987–1993
Kaiji,Nobuyuki Fukumoto,Kodansha,79,1996–present
Rookies,Masanori Morita,Shueisha,24,1998–2003
Terra Formars,"Yū Sasuga, Kenichi Tachibana",Shueisha,22,2011–2018 (on hiatus)
Dragon Quest Retsuden: Roto no Monsho,"Chiaki Kawamata, Junji Koyanagi, Kamui Fujiwara",Enix,21,1991–1997
